Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
Condition1_RRAe,-883.3358807984213,-0.0,-0.0,-0.0
Condition1_RRAn,0.0,0.0,0.0,0.0
Condition1_RRNe,-0.0,-0.0,-0.0,-0.0
Condition1_RRNn,-0.0,-0.0,-0.0,-0.0
Condition2_Artery,-0.0,-0.0,-0.0,-0.0
Condition2_Feedr,0.0,0.0,-0.0,-0.0
Condition2_Norm,0.0,0.0,0.0,0.0
Condition2_PosA,-0.0,-0.0,-0.0,-0.0
Condition2_PosN,-0.0,-0.0,-0.0,-0.0
BldgType_1Fam,5157.181993330147,5809.496762600021,5515.150319922168,5533.690012151711
BldgType_2fmCon,-0.0,-0.0,-0.0,-0.0
BldgType_Duplex,-0.0,-0.0,-0.0,-0.0
BldgType_Twnhs,-0.0,-0.0,-0.0,-0.0
BldgType_TwnhsE,0.0,0.0,0.0,0.0
HouseStyle_1.5Fin,-0.0,-0.0,-0.0,-0.0
HouseStyle_1.5Unf,0.0,0.0,0.0,0.0
HouseStyle_1Story,0.0,0.0,0.0,0.0
HouseStyle_2.5Unf,-0.0,-0.0,-0.0,-0.0
HouseStyle_2Story,-1370.8044277930244,-344.04942577085075,-0.0,0.0
HouseStyle_SFoyer,-0.0,-0.0,-0.0,-0.0
HouseStyle_SLvl,247.17172504695404,0.0,0.0,0.0
RoofStyle_Flat,-0.0,-0.0,-0.0,-0.0
RoofStyle_Gable,-288.84812933598363,-65.6227763246197,-0.0,-0.0
RoofStyle_Gambrel,0.0,0.0,0.0,0.0
RoofStyle_Hip,-0.0,0.0,0.0,0.0
RoofStyle_Mansard,0.0,0.0,0.0,0.0
RoofStyle_Shed,0.0,0.0,0.0,-0.0
RoofMatl_CompShg,-0.0,-0.0,-0.0,-0.0
RoofMatl_Tar&Grv,-4610.853475709263,-1097.5558826279666,-0.0,-0.0
RoofMatl_WdShake,0.0,0.0,0.0,-0.0
RoofMatl_WdShngl,26427.313365411523,21532.539956983317,0.0,0.0
Exterior1st_AsbShng,-0.0,-0.0,-0.0,-0.0
Exterior1st_AsphShn,0.0,0.0,0.0,0.0
Exterior1st_BrkComm,-0.0,-0.0,-0.0,-0.0
Exterior1st_BrkFace,12728.031767692359,12434.993105455262,9152.494891087628,5927.023448920333
Exterior1st_CBlock,-0.0,-0.0,-0.0,-0.0
Exterior1st_CemntBd,0.0,0.0,0.0,0.0
Exterior1st_HdBoard,-308.5204248135617,-0.0,-0.0,0.0
Exterior1st_ImStucc,-0.0,-0.0,-0.0,0.0
Exterior1st_MetalSd,48.68824637182521,0.0,0.0,-0.0
Exterior1st_Plywood,-0.0,-0.0,-0.0,-0.0
Exterior1st_Stone,-0.0,-0.0,-0.0,-0.0
Exterior1st_Stucco,0.0,0.0,0.0,0.0
Exterior1st_VinylSd,0.0,0.0,0.0,0.0
Exterior1st_Wd Sdng,-1279.4078170648204,-967.4122218003318,-462.5335100495743,-278.11432775038037
Exterior1st_WdShing,0.0,0.0,0.0,0.0
Exterior2nd_AsbShng,-0.0,-0.0,-0.0,-0.0
Exterior2nd_AsphShn,0.0,0.0,0.0,0.0
Exterior2nd_Brk Cmn,0.0,0.0,0.0,0.0
Exterior2nd_BrkFace,-0.0,-0.0,0.0,0.0
Exterior2nd_CBlock,-0.0,-0.0,-0.0,-0.0
Exterior2nd_CmentBd,-0.0,-0.0,0.0,0.0
Exterior2nd_HdBoard,-913.7554796687504,-431.1289175362774,-0.0,-0.0
Exterior2nd_ImStucc,0.0,0.0,0.0,0.0
Exterior2nd_MetalSd,0.0,0.0,0.0,-0.0
Exterior2nd_Other,-0.0,-0.0,-0.0,0.0
Exterior2nd_Plywood,-2212.1545678308166,-1597.7857518135036,-947.5984270686662,-141.7928155047381
Exterior2nd_Stone,-0.0,-0.0,-0.0,-0.0
Exterior2nd_Stucco,0.0,-0.0,-0.0,-0.0
Exterior2nd_VinylSd,2951.1723885509678,3000.4632271623896,2074.4343647146648,1090.1344248983962
Exterior2nd_Wd Sdng,0.0,0.0,-0.0,-0.0
Exterior2nd_Wd Shng,0.0,0.0,0.0,0.0
MasVnrType_BrkCmn,-3886.8108706218472,-1909.3806836828476,-0.0,-0.0
MasVnrType_BrkFace,-1266.6673708280632,-1425.9474632123247,-2032.7707209611383,-2416.3451700418113
MasVnrType_None,318.60568228381896,209.02983141719184,0.0,0.0
MasVnrType_Stone,4586.557931492497,4103.8751882514325,2823.169033696716,2155.9410806982914
ExterQual_Ex,7503.986825927812,8186.348539097538,9210.175278508288,10398.31403937192
