Feature Name,Alpha = 200.000000,Alpha = 500.000000,Alpha = 800.000000,Alpha = 1200.000000
Condition1_RRAe,-0.0,-0.0,-0.0,-0.0
Condition1_RRAn,0.0,0.0,0.0,-0.0
Condition1_RRNe,-0.0,-0.0,-0.0,-0.0
Condition1_RRNn,-0.0,-0.0,-0.0,-0.0
Condition2_Artery,0.0,0.0,0.0,0.0
Condition2_Feedr,0.0,-0.0,-0.0,-0.0
Condition2_Norm,0.0,0.0,0.0,0.0
Condition2_PosA,0.0,0.0,0.0,0.0
Condition2_PosN,-21200.903029153338,-0.0,-0.0,-0.0
Condition2_RRAe,-0.0,-0.0,-0.0,-0.0
Condition2_RRAn,0.0,-0.0,-0.0,-0.0
Condition2_RRNn,0.0,0.0,0.0,0.0
BldgType_1Fam,0.0,0.0,0.0,0.0
BldgType_2fmCon,4673.939096261595,0.0,0.0,0.0
BldgType_Duplex,-0.0,-0.0,-0.0,-0.0
BldgType_Twnhs,-0.0,-0.0,-0.0,-0.0
BldgType_TwnhsE,-0.0,-0.0,-0.0,-0.0
HouseStyle_1.5Fin,-0.0,-0.0,-0.0,-0.0
HouseStyle_1.5Unf,0.0,0.0,0.0,0.0
HouseStyle_1Story,1827.4590622130684,734.5392540322658,0.0,0.0
HouseStyle_2.5Fin,-0.0,-0.0,-0.0,-0.0
HouseStyle_2.5Unf,-0.0,-0.0,-0.0,-0.0
HouseStyle_2Story,-1905.0067798721177,-0.0,-0.0,-0.0
HouseStyle_SFoyer,0.0,-0.0,-0.0,-0.0
HouseStyle_SLvl,0.0,-0.0,-0.0,-0.0
RoofStyle_Flat,-0.0,-0.0,-0.0,0.0
RoofStyle_Gable,-0.0,-0.0,-0.0,-0.0
RoofStyle_Gambrel,0.0,0.0,0.0,0.0
RoofStyle_Hip,699.3753061432903,0.0,0.0,0.0
RoofStyle_Mansard,0.0,0.0,-0.0,-0.0
RoofStyle_Shed,0.0,0.0,0.0,0.0
