Feature Name,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
Condition2_RRNn,0.0,0.0,0.0
BldgType_1Fam,10919.41494957228,10339.287068858503,9217.543290417389
BldgType_2fmCon,0.0,0.0,0.0
BldgType_Duplex,-0.0,-0.0,-0.0
BldgType_Twnhs,-0.0,-0.0,-0.0
BldgType_TwnhsE,-0.0,-0.0,-0.0
HouseStyle_1.5Fin,-0.0,-0.0,-0.0
HouseStyle_1.5Unf,0.0,0.0,0.0
HouseStyle_1Story,3897.626447688289,2722.317253765802,2101.738372975078
HouseStyle_2.5Fin,-0.0,-0.0,-0.0
HouseStyle_2.5Unf,-0.0,-0.0,-0.0
HouseStyle_2Story,-0.0,-0.0,-0.0
HouseStyle_SFoyer,-0.0,-0.0,-0.0
HouseStyle_SLvl,0.0,-0.0,-0.0
OverallCond_1,-0.0,-0.0,-0.0
OverallCond_2,-0.0,-0.0,-0.0
OverallCond_3,-12587.013732584683,-5201.993326606128,-0.0
OverallCond_4,-7619.492743316086,-5001.132879397811,-2180.921731009354
OverallCond_5,-5826.958436345468,-4392.234326808121,-2902.9929525105367
OverallCond_6,0.0,0.0,0.0
OverallCond_7,6111.155024973699,4712.447939277147,4369.932044095624
OverallCond_8,3179.2186210647424,0.0,0.0
OverallCond_9,13054.20489593723,3714.055223950116,0.0
RoofStyle_Flat,-0.0,-0.0,-0.0
RoofStyle_Gable,-0.0,-0.0,-0.0
RoofStyle_Gambrel,-0.0,0.0,0.0
RoofStyle_Hip,0.0,0.0,0.0
RoofStyle_Mansard,0.0,0.0,0.0
RoofStyle_Shed,0.0,-0.0,-0.0
RoofMatl_CompShg,-0.0,-0.0,-0.0
RoofMatl_Membran,0.0,0.0,0.0
RoofMatl_Metal,0.0,0.0,0.0
RoofMatl_Roll,-0.0,-0.0,-0.0
RoofMatl_Tar&Grv,-2039.8726852999732,-0.0,-0.0
RoofMatl_WdShake,-0.0,-0.0,-0.0
RoofMatl_WdShngl,35726.72123126602,9025.962547142173,0.0
Exterior1st_AsbShng,0.0,0.0,-0.0
Exterior1st_AsphShn,-0.0,-0.0,-0.0
Exterior1st_BrkComm,-0.0,-0.0,-0.0
Exterior1st_BrkFace,11994.59557681891,8981.304548693188,6357.589676632903
Exterior1st_CBlock,-0.0,-0.0,-0.0
Exterior1st_CemntBd,0.0,0.0,0.0
Exterior1st_HdBoard,-466.3385201879131,-0.0,-0.0
Exterior1st_ImStucc,-0.0,-0.0,-0.0
Exterior1st_MetalSd,0.0,0.0,0.0
Exterior1st_Plywood,-1406.1841401427291,-1368.617101224139,-950.5086077990587
Exterior1st_Stone,-0.0,-0.0,-0.0
Exterior1st_Stucco,0.0,0.0,-0.0
Exterior1st_VinylSd,0.0,0.0,0.0
Exterior1st_Wd Sdng,-847.9202478587404,-444.86340627259733,-0.0
Exterior1st_WdShing,0.0,0.0,0.0
Exterior2nd_AsbShng,-0.0,-0.0,-0.0
Exterior2nd_AsphShn,-0.0,-0.0,0.0
Exterior2nd_Brk Cmn,0.0,0.0,-0.0
Exterior2nd_BrkFace,0.0,0.0,0.0
Exterior2nd_CBlock,-0.0,-0.0,-0.0
Exterior2nd_CmentBd,0.0,0.0,0.0
Exterior2nd_HdBoard,-0.0,-0.0,-0.0
Exterior2nd_ImStucc,0.0,0.0,0.0
Exterior2nd_MetalSd,0.0,0.0,0.0
Exterior2nd_Other,-0.0,-0.0,0.0
Exterior2nd_Plywood,-2981.450761095046,-2005.513302879886,-1172.869613783456
Exterior2nd_Stone,-0.0,-0.0,-0.0
Exterior2nd_Stucco,0.0,-0.0,-0.0
Exterior2nd_VinylSd,0.0,0.0,0.0
Exterior2nd_Wd Sdng,0.0,-0.0,-0.0
Exterior2nd_Wd Shng,-0.0,-0.0,-0.0
MasVnrType_BrkCmn,-1745.846962230179,-0.0,-0.0
MasVnrType_BrkFace,-1328.8696915149994,-5535.399347090199,-6115.838300704573
MasVnrType_None,4235.267742047705,830.9487396417894,0.0
MasVnrType_Stone,3618.7391318917607,0.0,0.0
ExterQual_Ex,19260.764928812223,19918.705382364773,19302.62160607936
