,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,ManufacturerAndVehicleType
13746,16196,2004-05,Light Goods Vehicle,Fiat,10,2004,Light Goods Vehicle Fiat
13747,16197,2002-03,Light Goods Vehicle,Volvo,50,2002,Light Goods Vehicle Volvo
13748,16197,2006-07,Light Goods Vehicle,Volvo,45,2006,Light Goods Vehicle Volvo
13749,16198,2007-08,Light Goods Vehicle,Fiat,40,2007,Light Goods Vehicle Fiat
13750,16199,2007-08,Heavy Goods Vehicle,Fiat,80,2007,Heavy Goods Vehicle Fiat
13751,16201,2005-06,Light Goods Vehicle,Mercedes Benz,70,2005,Light Goods Vehicle Mercedes Benz
13752,16201,2011-12,Light Goods Vehicle,Mercedes Benz,70,2011,Light Goods Vehicle Mercedes Benz
13753,16203,2006-07,Heavy Goods Vehicle,Mercedes Benz,30,2006,Heavy Goods Vehicle Mercedes Benz
13754,16205,2001-02,Light Goods Vehicle,Mercedes Benz,85,2001,Light Goods Vehicle Mercedes Benz
13755,16205,2008-09,Light Goods Vehicle,Mercedes Benz,80,2008,Light Goods Vehicle Mercedes Benz
13756,16206,2004-05,Light Goods Vehicle,Mercedes Benz,48,2004,Light Goods Vehicle Mercedes Benz
13757,16206,2010-11,Light Goods Vehicle,Mercedes Benz,48,2010,Light Goods Vehicle Mercedes Benz
13758,16207,2003-04,Light Goods Vehicle,Mercedes Benz,55,2003,Light Goods Vehicle Mercedes Benz
13759,16208,2006-07,Personnel Vehicle,Mercedes Benz,75,2006,Personnel Vehicle Mercedes Benz
13760,16209,2007-08,Personnel Vehicle,Volvo,85,2007,Personnel Vehicle Volvo
13761,16210,2011-12,Personnel Vehicle,Volvo,100,2011,Personnel Vehicle Volvo
13762,16212,2001-02,Light Goods Vehicle,Volvo,20,2001,Light Goods Vehicle Volvo
13763,16212,2007-08,Light Goods Vehicle,Volvo,30,2007,Light Goods Vehicle Volvo
13764,16214,2002-03,Heavy Goods Vehicle,Mercedes Benz,65,2002,Heavy Goods Vehicle Mercedes Benz
13765,16214,2008-09,Heavy Goods Vehicle,Mercedes Benz,65,2008,Heavy Goods Vehicle Mercedes Benz
13766,16215,2004-05,Light Goods Vehicle,Mercedes Benz,50,2004,Light Goods Vehicle Mercedes Benz
13767,16215,2010-11,Light Goods Vehicle,Mercedes Benz,50,2010,Light Goods Vehicle Mercedes Benz
