,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,ManufacturerAndVehicleType
13542,16028,2008-09,Personnel Vehicle,Mercedes Benz,70,2008,Personnel Vehicle Mercedes Benz
13543,16029,2004-05,Light Goods Vehicle,Mercedes Benz,85,2004,Light Goods Vehicle Mercedes Benz
13544,16029,2010-11,Light Goods Vehicle,Mercedes Benz,40,2010,Light Goods Vehicle Mercedes Benz
13545,16030,2006-07,Light Goods Vehicle,Mercedes Benz,40,2006,Light Goods Vehicle Mercedes Benz
13546,16032,2001-02,Light Goods Vehicle,Mercedes Benz,45,2001,Light Goods Vehicle Mercedes Benz
13547,16032,2007-08,Light Goods Vehicle,Mercedes Benz,0,2007,Light Goods Vehicle Mercedes Benz
13548,16032,2011-12,Light Goods Vehicle,Mercedes Benz,20,2011,Light Goods Vehicle Mercedes Benz
13549,16033,2006-07,Light Goods Vehicle,Mercedes Benz,20,2006,Light Goods Vehicle Mercedes Benz
13550,16035,2002-03,Personnel Vehicle,Fiat,80,2002,Personnel Vehicle Fiat
13551,16035,2008-09,Personnel Vehicle,Fiat,70,2008,Personnel Vehicle Fiat
13552,16035,2011-12,Personnel Vehicle,Fiat,75,2011,Personnel Vehicle Fiat
13553,16038,2006-07,Light Goods Vehicle,Mercedes Benz,20,2006,Light Goods Vehicle Mercedes Benz
13554,16039,2002-03,Personnel Vehicle,Mercedes Benz,50,2002,Personnel Vehicle Mercedes Benz
13555,16039,2007-08,Personnel Vehicle,Mercedes Benz,60,2007,Personnel Vehicle Mercedes Benz
13556,16041,2001-02,Personnel Vehicle,Mercedes Benz,10,2001,Personnel Vehicle Mercedes Benz
13557,16041,2007-08,Personnel Vehicle,Mercedes Benz,10,2007,Personnel Vehicle Mercedes Benz
13558,16042,2001-02,Personnel Vehicle,Mercedes Benz,100,2001,Personnel Vehicle Mercedes Benz
13559,16043,2006-07,Light Goods Vehicle,Mercedes Benz,65,2006,Light Goods Vehicle Mercedes Benz
13560,16044,2001-02,Personnel Vehicle,Mercedes Benz,75,2001,Personnel Vehicle Mercedes Benz
13561,16044,2007-08,Personnel Vehicle,Mercedes Benz,75,2007,Personnel Vehicle Mercedes Benz
13562,16047,2002-03,Personnel Vehicle,Volvo,0,2002,Personnel Vehicle Volvo
13563,16047,2009-10,Personnel Vehicle,Volvo,100,2009,Personnel Vehicle Volvo
13564,16049,2001-02,Personnel Vehicle,Mercedes Benz,60,2001,Personnel Vehicle Mercedes Benz
13565,16049,2007-08,Personnel Vehicle,Mercedes Benz,60,2007,Personnel Vehicle Mercedes Benz
13566,16050,2006-07,Personnel Vehicle,Mercedes Benz,100,2006,Personnel Vehicle Mercedes Benz
13567,16051,2001-02,Personnel Vehicle,Mercedes Benz,100,2001,Personnel Vehicle Mercedes Benz
13568,16052,2003-04,Heavy Goods Vehicle,Mercedes Benz,30,2003,Heavy Goods Vehicle Mercedes Benz
13569,16052,2009-10,Heavy Goods Vehicle,Mercedes Benz,30,2009,Heavy Goods Vehicle Mercedes Benz
13570,16053,2002-03,Heavy Goods Vehicle,Volvo,10,2002,Heavy Goods Vehicle Volvo
13571,16053,2010-11,Heavy Goods Vehicle,Volvo,10,2010,Heavy Goods Vehicle Volvo
13572,16054,2005-06,Personnel Vehicle,Volvo,85,2005,Personnel Vehicle Volvo
13573,16054,2011-12,Personnel Vehicle,Volvo,85,2011,Personnel Vehicle Volvo
13574,16055,2006-07,Light Goods Vehicle,Fiat,20,2006,Light Goods Vehicle Fiat
13575,16057,2005-06,Personnel Vehicle,Mercedes Benz,70,2005,Personnel Vehicle Mercedes Benz
13576,16057,2011-12,Personnel Vehicle,Mercedes Benz,70,2011,Personnel Vehicle Mercedes Benz
13577,16058,2004-05,Light Goods Vehicle,Mercedes Benz,35,2004,Light Goods Vehicle Mercedes Benz
13578,16059,2002-03,Heavy Goods Vehicle,Mercedes Benz,15,2002,Heavy Goods Vehicle Mercedes Benz
13579,16059,2008-09,Heavy Goods Vehicle,Mercedes Benz,30,2008,Heavy Goods Vehicle Mercedes Benz
13580,16060,2006-07,Personnel Vehicle,Mercedes Benz,80,2006,Personnel Vehicle Mercedes Benz
13581,16062,2002-03,Heavy Goods Vehicle,Mercedes Benz,5,2002,Heavy Goods Vehicle Mercedes Benz
13582,16062,2008-09,Heavy Goods Vehicle,Mercedes Benz,100,2008,Heavy Goods Vehicle Mercedes Benz
13583,16066,2005-06,Heavy Goods Vehicle,Volvo,10,2005,Heavy Goods Vehicle Volvo
13584,16066,2011-12,Heavy Goods Vehicle,Volvo,10,2011,Heavy Goods Vehicle Volvo
13585,16067,2005-06,Light Goods Vehicle,Fiat,30,2005,Light Goods Vehicle Fiat
13586,16068,2002-03,Light Goods Vehicle,Volvo,20,2002,Light Goods Vehicle Volvo
13587,16068,2009-10,Light Goods Vehicle,Volvo,60,2009,Light Goods Vehicle Volvo
13588,16070,2003-04,Light Goods Vehicle,Mercedes Benz,35,2003,Light Goods Vehicle Mercedes Benz
13589,16070,2009-10,Light Goods Vehicle,Mercedes Benz,20,2009,Light Goods Vehicle Mercedes Benz
13590,16071,2002-03,Light Goods Vehicle,Mercedes Benz,75,2002,Light Goods Vehicle Mercedes Benz
13591,16071,2011-12,Light Goods Vehicle,Mercedes Benz,20,2011,Light Goods Vehicle Mercedes Benz
13592,16072,2001-02,Personnel Vehicle,Mercedes Benz,70,2001,Personnel Vehicle Mercedes Benz
13593,16072,2008-09,Personnel Vehicle,Mercedes Benz,70,2008,Personnel Vehicle Mercedes Benz
