,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,Month
20057,21518,2009-10,Heavy Goods Vehicle,Volvo,100,2009,10
20058,21519,2007-08,Light Goods Vehicle,Volvo,40,2007,8
20059,21520,2004-05,Heavy Goods Vehicle,Volvo,100,2004,5
20060,21520,2008-09,Heavy Goods Vehicle,Volvo,100,2008,9
20061,21522,2004-05,Heavy Goods Vehicle,Fiat,100,2004,5
20062,21523,2002-03,Personnel Vehicle,Fiat,100,2002,3
20063,21523,2008-09,Personnel Vehicle,Fiat,50,2008,9
20064,21524,2002-03,Light Goods Vehicle,Mercedes Benz,20,2002,3
20065,21524,2008-09,Light Goods Vehicle,Mercedes Benz,20,2008,9
20066,21525,2005-06,Light Goods Vehicle,Mercedes Benz,20,2005,6
20067,21526,2008-09,Light Goods Vehicle,Mercedes Benz,45,2008,9
20068,21527,2005-06,Personnel Vehicle,Mercedes Benz,75,2005,6
20069,21529,2005-06,Heavy Goods Vehicle,Mercedes Benz,65,2005,6
20070,21530,2006-07,Heavy Goods Vehicle,Mercedes Benz,30,2006,7
20071,21530,2011-12,Heavy Goods Vehicle,Mercedes Benz,30,2011,12
20072,21531,2005-06,Light Goods Vehicle,Mercedes Benz,55,2005,6
20073,21532,2004-05,Light Goods Vehicle,Mercedes Benz,0,2004,5
20074,21532,2010-11,Light Goods Vehicle,Mercedes Benz,20,2010,11
20075,21533,2010-11,Heavy Goods Vehicle,Mercedes Benz,30,2010,11
20076,21534,2003-04,Heavy Goods Vehicle,Mercedes Benz,50,2003,4
20077,21534,2009-10,Heavy Goods Vehicle,Mercedes Benz,30,2009,10
20078,21535,2006-07,Heavy Goods Vehicle,Mercedes Benz,75,2006,7
20079,21536,2007-08,Light Goods Vehicle,Volvo,55,2007,8
20080,21537,2002-03,Heavy Goods Vehicle,Volvo,70,2002,3
20081,21537,2007-08,Heavy Goods Vehicle,Volvo,50,2007,8
20082,21538,2005-06,Light Goods Vehicle,Volvo,20,2005,6
20083,21539,2005-06,Light Goods Vehicle,Volvo,20,2005,6
20084,21539,2011-12,Light Goods Vehicle,Volvo,20,2011,12
20085,21540,2007-08,Personnel Vehicle,Volvo,20,2007,8
20086,21541,2008-09,Heavy Goods Vehicle,Volvo,30,2008,9
20087,21542,2008-09,Heavy Goods Vehicle,Fiat,60,2008,9
20088,21543,2006-07,Heavy Goods Vehicle,Volvo,80,2006,7
20089,21544,2004-05,Heavy Goods Vehicle,Volvo,30,2004,5
20090,21544,2010-11,Heavy Goods Vehicle,Volvo,10,2010,11
20091,21546,2002-03,Light Goods Vehicle,Volvo,68,2002,3
20092,21546,2008-09,Light Goods Vehicle,Volvo,50,2008,9
20093,21547,2009-10,Heavy Goods Vehicle,Volvo,65,2009,10
20094,21548,2002-03,Personnel Vehicle,Volvo,90,2002,3
20095,21548,2009-10,Personnel Vehicle,Volvo,60,2009,10
20096,21549,2004-05,Heavy Goods Vehicle,Volvo,80,2004,5
