,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,Month
19588,21141,2003-04,Heavy Goods Vehicle,Mercedes Benz,30,2003,4
19589,21141,2009-10,Heavy Goods Vehicle,Mercedes Benz,30,2009,10
19590,21142,2002-03,Light Goods Vehicle,Mercedes Benz,65,2002,3
19591,21142,2007-08,Light Goods Vehicle,Mercedes Benz,65,2007,8
19592,21143,2008-09,Light Goods Vehicle,Mercedes Benz,85,2008,9
19593,21144,2003-04,Personnel Vehicle,Mercedes Benz,60,2003,4
19594,21145,2005-06,Light Goods Vehicle,Mercedes Benz,40,2005,6
19595,21146,2006-07,Heavy Goods Vehicle,Mercedes Benz,15,2006,7
19596,21147,2001-02,Light Goods Vehicle,Mercedes Benz,70,2001,2
19597,21147,2007-08,Light Goods Vehicle,Mercedes Benz,65,2007,8
19598,21148,2006-07,Heavy Goods Vehicle,Mercedes Benz,100,2006,7
19599,21149,2008-09,Heavy Goods Vehicle,Volvo,65,2008,9
19600,21150,2005-06,Light Goods Vehicle,Volvo,50,2005,6
19601,21151,2004-05,Light Goods Vehicle,Volvo,40,2004,5
